Generator Name,Location Node,Number of Units,Plot Color,Apparent Power Rating (MVA),,Fix Cost ($),Start up Cost ($),Shut down Cost ($),Variable Cost ($/MWh),Maximum Real Power (MW),,Minimum Real Power (MW),Ramp Up Rate (MW/h),Ramp Down Rate (MW/h),MUT (h),MDT (h),Generation Type,Generation Tech Name,Resource Collector Rating (MW),Maximum Energy Storage Capacity (MWh),Minimum Energy Storage Limit (MWh),2014 Variable Cost ($/MWh),Strorage Efficiency (%)
Braemar PS,N_4932,6,Pink,192.2222222,192.2222222,280,280.43,280.43379,49,173,173,0,670,660,1,1,1,OCGT,,,,40,
Callide PS,N_4950,4,Grey,508.3333333,508.3333333,2820,11280.82,11280.82192,13,457.5,457.5,224.175,320.25,320.25,8,8,1,BlCT,,,,13,
Condamine A PS,N_4935,3,Violet,160,160,164,493.15,493.1506849,8,144,144,0,180,180,4,4,1,CCGT,,,,8,
Darling Downs PS,N_4942,4,Violet,178.8888889,178.8888889,184,551.37,551.369863,26,161,161,0,490,490,4,4,1,CCGT,,,,26,
Gladstone PS,N_4952,6,Grey,317,317,1844.7,7378.77,7378.767123,16,285,285,111.15,199.5,199.5,8,8,1,BlCT,,,,16,
Kogan Creek PS,N_4936,1,Grey,868,868,4662.8,18651.28,18651.27854,8,781,781,367.07,546.7,546.7,8,8,1,BlCT,,,,8,
Millmerran PS,N_4921,2,Grey,500,500,2732.9,10931.51,10931.50685,9,450,450,180,315,315,8,8,1,BlCT,,,,9,
Mt Stuart PS,N_4975,3,Pink,164.0740741,164.0740741,239,239.37,239.3683409,358,147.6666667,147.6666667,0,600,600,1,1,1,OCGT,,,,358,
Oakey PS,N_4911,2,Pink,192,192,280.4,280.43,280.43379,80,173,173,0,660,660,1,1,1,OCGT,,,,74,
Stanwell PS,N_4954,4,Grey,427.7777778,427.7777778,2347,9387.67,9387.671233,14,385,385,192.5,269.5,269.5,8,8,1,BlCT,,,,14,
Swanbank E PS,N_4905,1,Violet,428,428,439.5,1318.49,1318.493151,35,385,385,0,640,640,4,4,1,CCGT,,,,27,
Tarong North PS,N_4934,1,Grey,533.3333333,533.3333333,2866,11463.01,11463.0137,10,480,480,192,336,336,8,8,1,BlCT,,,,10,
Tarong PS,N_4933,4,Grey,427.7777778,427.7777778,2373,9493.15,9493.150685,10,385,385,154,269.5,269.5,8,8,1,BlCT,,,,10,
Townsville (Yabulu) PS,N_4976,2,Pink,143.3333333,143.3333333,147,441.78,441.7808219,47,129,129,0,770,770,4,4,1,OCGT,,,,35,
Wivenhoe PS,N_4930,2,Blue,346.6666667,346.6666667,2019,4038.90,4038.90411,7,312,312,78,7200,7200,1,1,1,Hydro,,,,7,
Yarwun PS,N_4953,1,Violet,200,200,205,616.44,616.4383562,36,180,180,0,600,600,4,4,1,CCGT,,,,36,
Bayswater Power Station,N_2984,4,Grey,777.7777778,777.7777778,4267.123288,17068.49315,17068.49315,12.97,700,700,308,490,490,8,8,1,BlCT,,,,13.38,
Boco Rock Wind Farm,N_2952,67,Green,1.873963516,0.936981758,8.278811422,16.55762284,16.55762284,0,1.686567164,0.843283582,0,630,620,1,1,2,WND,,,,0,
Capital-Woodlawn WF,N_2902,90,Green,2.320987654,1.160493827,10.25367834,0,0,0,2.088888889,1.044444444,0,900,180,1,1,2,WND,,,,0,
Colongra Power Station,N_2962,4,Pink,201.1111111,201.1111111,293.4018265,293.4018265,293.4018265,90.26,181,181,0,720,720,1,1,1,OCGT,,,,86.78,
Eraring Power Station,N_2970,4,Grey,833.3333333,833.3333333,4571.917808,18287.67123,18287.67123,16.78,750,750,240,525,525,8,8,1,BlCT,,,,17.57,
GullenRange-Gunning-Cullering-Taralga WF,N_2904,170,Green,2.320261438,1.160130719,10.25047005,30.75141015,30.75141015,0,2.088235294,1.044117647,0,2816.666667,2813.333333,1,1,2,WND,,,,0,
Hunter Valley GT,N_2985,2,Pink,27.77777778,27.77777778,40.52511416,40.52511416,40.52511416,383.47,25,25,0,60,60,1,1,1,OCGT,,,,383.47,
Liddell Power Station,N_2986,4,Grey,611.1111111,611.1111111,3559.931507,14239.72603,14239.72603,13.86,550,550,242,385,385,8,8,1,BlCT,,,,14.29,
Mt Piper Power Station,N_2953,2,Grey,777.7777778,777.7777778,4267.123288,17068.49315,17068.49315,13.03,700,700,294,490,490,8,8,1,BlCT,,,,14.07,
Murray Power Statio,N_2901,14,Blue,125,125,728.1678082,2184.503425,2184.503425,7,112.5,112.5,0,12000,2990,1,1,1,Hydro,,,,7,
Shoalhaven Power Station,N_2919,4,Blue,66.66666667,66.66666667,388.3561644,776.7123288,776.7123288,7,60,60,0,600,600,1,1,1,Hydro,,,,7,
Smithfield Energy Facility,N_2971,4,Purple,48.88888889,48.88888889,50.2283105,150.6849315,150.6849315,52.46,44,44,0,70,180,4,4,1,CCGT,,,,36.94,
Tallawarra Power Station,N_2925,1,Purple,488.8888889,488.8888889,502.283105,1506.849315,1506.849315,27.2,440,440,0,360,360,4,4,1,CCGT,,,,27.4,
Tumut 3 Power Station,N_2905,6,Blue,333.3333333,333.3333333,1941.780822,3883.561644,3883.561644,7,300,300,0,12000,2890,1,1,1,Hydro,,,,7,
Tumut Power Station,N_2903,8,Blue,92.36111111,92.36111111,538.0351027,1076.070205,1076.070205,7,83.125,83.125,0,7790,1840,1,1,1,Hydro,,,,7,
Uranquinty Power Station,N_2914,4,Pink,184.4444444,184.4444444,269.086758,269.086758,269.086758,81.61,166,166,0,660,660,1,1,1,OCGT,,,,78.73,
Vales Point B Power Station,N_2966,2,Grey,755.5555556,755.5555556,4145.205479,16580.82192,16580.82192,17.12,680,680,258.4,476,476,8,8,1,BlCT,,,,17.42,
Ararat WF,N_3923,75,Green,3.555555556,1.777777778,15.70776256,47.12328767,47.12328767,0,3.2,1.6,0,240,240,1,1,2,WND,,,,0,
Bald Hills-Toora-Wonthaggi WF,N_3986,70,Green,2.206349206,1.103174603,9.747227658,29.24168297,29.24168297,0,1.985714286,0.992857143,0,139,139,1,1,2,WND,,,,0,
Eildon PS,N_3921,2,Blue,75,75,436.9006849,873.8013699,873.8013699,7,67.5,67.5,20.25,900,900,1,1,1,Hydro,,,,7,
Jeeralang PS,N_3918,7,Pink,88.88888889,88.88888889,129.6803653,129.6803653,129.6803653,88.74,80,80,0,540,540,1,1,1,OCGT,,,,77.54,
Kiewa Hydro Scheme & Dartmouth PS,N_3922,13,Blue,49.74358974,49.74358974,289.7734457,579.5468915,579.5468915,7,44.76923077,44.76923077,0,3600,3600,1,1,1,Hydro,,,,7,
Laverton North PS,N_3915,2,Pink,191.1111111,191.1111111,278.8127854,278.8127854,278.8127854,70.79,172,172,0,3330,920,1,1,1,OCGT,,,,62.39,
Loy Yang A PS,N_3980,4,Brown,637.5,637.5,9280.864726,37123.4589,37123.4589,2.08,573.75,573.75,355.725,516.375,516.375,16,16,1,BrCT,,,,2.08,
Loy Yang B PS,N_3981,2,Brown,666.6666667,666.6666667,7671.232877,30684.93151,30684.93151,5.7,600,600,366,540,540,16,16,1,BrCT,,,,5.7,
Macarthur-Mortons-Oaklands WF,N_3912,185,Green,3.045045045,1.522522523,13.45242503,40.35727508,40.35727508,0,2.740540541,1.37027027,0,520,515,1,1,2,WND,,,,0,
Mortlake PS,N_3903,2,Pink,324.4444444,324.4444444,473.3333333,473.3333333,473.3333333,74.61,292,292,0,780,780,1,1,1,OCGT,,,,66.58,
Newport PS,N_3985,1,White,566.6666667,566.6666667,2538.356164,7615.068493,7615.068493,57.96,510,510,0,420,420,1,1,1,Sub Critical,,,,50.48,
Portland-Codrington-Yambuk WF,N_3914,108,Green,2.016460905,1.008230453,8.908337561,26.72501268,26.72501268,0,1.814814815,0.907407407,0,196,196,1,1,2,WND,,,,0,
Somerton PS,N_3902,4,Pink,47.22222222,47.22222222,68.89269406,68.89269406,68.89269406,89.37,42.5,42.5,0,600,600,1,1,1,OCGT,,,,78.73,
Valley PS,N_3982,6,Pink,66.66666667,66.66666667,97.26027397,97.26027397,97.26027397,85.53,60,60,0,3600,600,1,1,1,OCGT,,,,74.85,
Waubra-Mt Mercer WF,N_3906,192,Green,1.869212963,0.934606481,8.257824391,24.77347317,24.77347317,0,1.682291667,0.841145833,0,625,610,1,1,2,WND,,,,0,
Yallourn W PS,N_3929,4,Brown,444.4444444,444.4444444,6721.461187,26885.84475,26885.84475,2.41,400,400,240,360,360,16,16,1,BrCT,,,,2.41,
Dry Creek PS,N_5906,3,Pink,63.33333333,63.33333333,92.39726027,92.39726027,92.39726027,117.91,57,57,0,300,300,1,1,1,OCGT,,,,106.16,
Hallett PS,N_5945,12,Purple,20.37037037,20.37037037,29.71841705,29.71841705,29.71841705,125.62,18.33333333,18.33333333,0,600,600,1,1,1,CCGT,,,,112.46,
Hallett-Bluff WF,N_5951,104,Green,2.33974359,1.169871795,10.33653846,0,0,0,2.105769231,1.052884615,0,150,150,1,1,2,WND,,,,0,
Hornsdale-North Brown Hill WF,N_5952,95,Green,2.736842105,1.368421053,12.09084355,0,0,0,2.463157895,1.231578947,0,180,180,1,1,2,WND,,,,0,
Ladbroke Grove PS,N_5902,2,,55.55555556,55.55555556,81.05022831,81.05022831,81.05022831,74.64,50,50,0,480,480,1,1,1,OCGT,,,,66.27,
Lake Bonney WF,N_5970,135,Green,2.674897119,1.33744856,11.81718248,0,0,0,2.407407407,1.203703704,0,900,780,1,1,2,WND,,,,0,
Mintaro PS,N_5918,1,Pink,116.6666667,116.6666667,170.2054795,170.2054795,170.2054795,108.45,105,105,0,300,300,1,1,1,OCGT,,,,97.23,
Osborne PS,N_5914,2,Purple,226.6666667,226.6666667,232.8767123,698.630137,698.630137,57.5,204,204,0,170,170,4,4,1,CCGT,,,,51.8,
Pelican Point PS,N_5911,3,Purple,188.8888889,188.8888889,194.0639269,582.1917808,582.1917808,48.57,170,170,0,600,600,4,4,1,CCGT,,,,43.42,
Quarantine PS,N_5912,5,Pink,50.66666667,50.66666667,73.91780822,73.91780822,73.91780822,85.17,45.6,45.6,0,600,600,1,1,1,OCGT,,,,76.94,
Snowtown WF,N_5953,137,Green,2.99270073,1.496350365,13.22117788,0,0,0,2.693430657,1.346715328,0,610,610,1,1,2,WND,,,,0,
Snuggery PS,N_5901,3,Pink,25.55555556,25.55555556,37.28310502,37.28310502,37.28310502,412.25,23,23,0,180,180,1,1,1,OCGT,,,,412.25,
Torrens Island PS,N_5913,8,White,183.3333333,183.3333333,800.5136986,3202.054795,3202.054795,79.085,165,165,0,430,290,1,1,1,Sub Critical,,,,49.69,