Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L190,N_2291,N_2261,0.003772558,0.047284998,0.718663689,1000,-21.14835659,AC,,2,2,1000
L191,N_2295,N_2257,0.004719643,0.035981439,0.44159039,1000,-27.7921068,AC,,2,2,1000
L192,N_2253,N_2257,0.006964692,0.053097154,0.651646896,1000,-18.83340097,AC,,2,2,1000
L193,N_2185,N_2285,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L194,N_2185,N_2285,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L195,N_2116,N_2216,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L196,N_2116,N_2216,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L197,N_2170,N_2270,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L198,N_2170,N_2270,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L199,N_2127,N_2227,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L200,N_2127,N_2227,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L201,N_2153,N_2253,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L202,N_2153,N_2253,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L203,N_2195,N_2295,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L204,N_2215,N_2415,0.0036,0.05,0,1000,-20,AC,,2,4,1000
L205,N_2215,N_2415,0.0036,0.05,0,1000,-20,AC,,2,4,1000
L206,N_2185,N_2984,0,0.0113,0,3000,-88.49557522,AC,,1,9,3000
L207,N_2285,N_2985,0,0.1,0,3000,-10,AC,,2,9,3000
L208,N_2286,N_2986,0,0.015,0,3000,-66.66666667,AC,,2,9,3000
L209,N_2253,N_2953,0,0.010714286,0,3000,-93.33333333,AC,,2,9,3000
L210,N_2210,N_2952,0,0.05,0,3000,-20,AC,,2,9,3000
L211,N_2239,N_2971,0,0.05,0,3000,-20,AC,,2,9,3000
L212,N_2270,N_2970,0,0.010714286,0,3000,-93.33333333,AC,,2,9,3000
L213,N_2266,N_2966,0,0.011363636,0,3000,-88,AC,,2,9,3000
L214,N_2262,N_2962,0,0.020718232,0,3000,-48.26666667,AC,,2,9,3000
L215,N_2201,N_2901,0,0.0375,0,3000,-26.66666667,AC,,2,9,3000
L216,N_2202,N_2903,0,0.03,0,3000,-33.33333333,AC,,2,9,3000
L217,N_2212,N_2904,0,0.05,0,3000,-20,AC,,2,9,3000
L218,N_2203,N_2905,0,0.05,0,3000,-20,AC,,2,9,3000
L219,N_2214,N_2914,0,0.15,0,3000,-6.666666667,AC,,2,9,3000
L220,N_2219,N_2919,0,0.022590361,0,3000,-44.26666667,AC,,2,9,3000
L221,N_2225,N_2925,0,0.0625,0,3000,-16,AC,,2,9,3000
L222,N_2211,N_2902,0,0.035714286,0,3000,-28,AC,,2,9,3000
L223,N_3201,N_3202,0.008935357,0.068121035,0.836030883,1000,-14.67975349,AC,,2,2,1000
L224,N_3201,N_3202,0.008935357,0.068121035,0.836030883,1000,-14.67975349,AC,,2,2,1000
L225,N_3201,N_3203,0.00168262,0.012827898,0.157433299,1000,-77.95509164,AC,,2,2,1000
L226,N_3401,N_3404,0.011716435,0.051828952,0.149384547,800,-19.29423527,AC,,4,4,700
L227,N_3401,N_3404,0.011716435,0.051828952,0.149384547,800,-19.29423527,AC,,4,4,700
L228,N_3401,N_3422,0.005250553,0.031276677,0.052090021,800,-31.97270646,AC,,4,4,700
L229,N_3401,N_3422,0.005250553,0.031276677,0.052090021,800,-31.97270646,AC,,4,4,700
L230,N_3401,N_3405,0.02081755,0.124006702,0.20652807,800,-8.06408027,AC,,4,4,700
L231,N_3404,N_3405,0.010101821,0.044686527,0.128798215,800,-22.37810975,AC,,4,4,700
L232,N_3404,N_3405,0.010101821,0.044686527,0.128798215,800,-22.37810975,AC,,4,4,700
L233,N_3411,N_3407,0.017062822,0.101640406,0.169277923,800,-9.838606854,AC,,4,4,700
L234,N_3411,N_3406,0.013504408,0.080443525,0.133975387,800,-12.43108138,AC,,4,4,700
L235,N_3407,N_3408,0.026895518,0.118975311,0.34291785,800,-8.405105168,AC,,4,4,700
L236,N_3408,N_3409,0.007044873,0.03116378,0.089822134,800,-32.08853396,AC,,4,4,700
L237,N_3409,N_3410,0.039873015,0.17638271,0.508380936,800,-5.669489927,AC,,4,4,700
L238,N_3406,N_3412,0.008881398,0.05290502,0.088111138,800,-18.90179813,AC,,4,4,700
L239,N_3406,N_3412,0.009388646,0.041531718,0.119705235,800,-24.07798285,AC,,4,4,700
L240,N_3406,N_3423,0.016411422,0.075209178,0.216772449,800,-13.29624964,AC,,4,4,700
L241,N_3423,N_3412,0.01870312,0.111411391,0.185551097,800,-8.975742898,AC,,4,4,700
L242,N_3412,N_3420,0.00037893,0.004218085,0.014060282,800,-237.0744347,AC,,4,4,700
L243,N_3412,N_3420,0.00037893,0.004218085,0.014060282,800,-237.0744347,AC,,4,4,700
L244,N_3112,N_3114,0.001928,0.025787,2.534115,2500,-38.77922984,AC,,1,1,2500
L245,N_3112,N_3114,0.001928,0.025787,2.534115,2500,-38.77922984,AC,,1,1,2500
L246,N_3112,N_3113,0.000437425,0.006498888,0.686070078,2500,-153.8724849,AC,,1,1,2500
L247,N_3112,N_3113,0.000437425,0.006498888,0.686070078,2500,-153.8724849,AC,,1,1,2500
L248,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L249,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L250,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L251,N_3115,N_3102,0.000198689,0.002951951,0.311629479,2500,-338.759055,AC,,1,1,2500
L252,N_3115,N_3113,8.22982E-05,0.001222716,0.129078864,2500,-817.8512324,AC,,1,1,2500
L253,N_3113,N_3102,0.000298787,0.004439127,0.468626715,2500,-225.269504,AC,,1,1,2500
L254,N_3113,N_3102,0.000298787,0.004439127,0.468626715,2500,-225.269504,AC,,1,1,2500
L255,N_3102,N_3118,0.001073035,0.015942231,1.682978446,2500,-62.72647635,AC,,1,1,2500
L256,N_3102,N_3118,0.001073035,0.015942231,1.682978446,2500,-62.72647635,AC,,1,1,2500
L257,N_3102,N_3116,0.000253256,0.003762663,0.397214177,2500,-265.7692343,AC,,1,1,2500
L258,N_3116,N_3117,0.000137431,0.002041825,0.215549978,2500,-489.7579149,AC,,1,1,2500
L259,N_3116,N_3118,0.000970159,0.014413793,1.521625352,2500,-69.37798951,AC,,1,1,2500
L260,N_3117,N_3118,0.000806548,0.011982996,1.265012673,2500,-83.45158113,AC,,1,1,2500
L261,N_3417,N_3468,0.001246097,0.010546673,0.03655217,800,-94.81662685,AC,,4,4,700
L262,N_3417,N_3468,0.001246097,0.010546673,0.03655217,800,-94.81662685,AC,,4,4,700
L263,N_3416,N_3468,0.000122012,0.001032685,0.00357903,800,-968.3498114,AC,,4,4,700
L264,N_3416,N_3468,0.000122012,0.001032685,0.00357903,800,-968.3498114,AC,,4,4,700
L265,N_3416,N_3418,0.005117323,0.076333402,0.300358434,800,-13.10042484,AC,,4,4,700
L266,N_3416,N_3418,0.012828845,0.088901643,0.164186704,800,-11.24838609,AC,,4,4,700
L267,N_3416,N_3426,0.001732776,0.01466581,0.050828083,800,-68.18579873,AC,,4,4,700
L268,N_3416,N_3426,0.001732776,0.01466581,0.050828083,800,-68.18579873,AC,,4,4,700
L269,N_3416,N_3424,0.003080034,0.026068693,0.090347663,800,-38.36018889,AC,,4,4,700
L270,N_3416,N_3429,0.012282746,0.085117274,0.157197598,800,-11.74849656,AC,,4,4,700
L271,N_3416,N_3429,0.012282746,0.085117274,0.157197598,800,-11.74849656,AC,,4,4,700
L272,N_3416,N_3429,0.0122778,0.085083,0.1571343,800,-11.7532292,AC,,4,4,700
L273,N_3416,N_3429,0.0122778,0.085083,0.1571343,800,-11.7532292,AC,,4,4,700
L274,N_3415,N_3424,0.000880999,0.006260577,0.046792973,800,-159.7296855,AC,,4,4,700
L275,N_3415,N_3424,0.000880999,0.006260577,0.046792973,800,-159.7296855,AC,,4,4,700
L276,N_3424,N_3428,0.000575657,0.005960702,0.020607291,800,-167.7654675,AC,,4,4,700
L277,N_3424,N_3428,0.000575657,0.005960702,0.020607291,800,-167.7654675,AC,,4,4,700
L278,N_3424,N_3421,0.0064,0.0391,0.365,800,-25.57544757,AC,,4,4,700
L279,N_3424,N_3427,0.001676893,0.014192837,0.049188872,800,-70.45807861,AC,,4,4,700
L280,N_3424,N_3402,0.000692434,0.004775408,0.015758847,800,-209.4061802,AC,,4,4,700
L281,N_3424,N_3402,0.000692434,0.004775408,0.015758847,800,-209.4061802,AC,,4,4,700
L282,N_3424,N_3425,0.000827345,0.009209653,0.030698843,800,-108.5817242,AC,,4,4,700
L283,N_3425,N_3416,0.001208271,0.013449966,0.044833222,800,-74.3496276,AC,,4,4,700
L284,N_3426,N_3428,0.000360154,0.003662434,0.232273147,800,-273.0424428,AC,,4,4,700
L285,N_3427,N_3416,0.000684664,0.007621387,0.025404624,800,-131.2097074,AC,,4,4,700
L286,N_3114,N_3130,0.000252115,0.003372037,0.331373513,2500,-296.5566779,AC,,1,1,2500
L287,N_3114,N_3130,0.000252115,0.003372037,0.331373513,2500,-296.5566779,AC,,1,1,2500
L288,N_3422,N_3421,0.018932603,0.112778383,0.187827766,800,-8.866947489,AC,,4,4,700
L289,N_3422,N_3421,0.018932603,0.112778383,0.187827766,800,-8.866947489,AC,,4,4,700
L290,N_3118,N_3119,0.000104082,0.001420173,0.157584587,2500,-704.1395413,AC,,1,1,2500
L291,N_3118,N_3119,0.000104082,0.001420173,0.157584587,2500,-704.1395413,AC,,1,1,2500
L292,N_3118,N_3119,0.000104082,0.001420173,0.157584587,2500,-704.1395413,AC,,1,1,2500
L293,N_3405,N_3470,0.013232228,0.078822194,0.131275127,800,-12.68678211,AC,,4,4,700
L294,N_3470,N_3411,0.003442379,0.020505682,0.034151371,800,-48.76697115,AC,,4,4,700
L295,N_3410,N_3471,0.020611029,0.091175175,0.262790615,800,-10.96789775,AC,,4,4,700
L296,N_3471,N_3406,0.005548087,0.024542581,0.070738113,800,-40.74551122,AC,,4,4,700
L297,N_3115,N_3113,8.22982E-05,0.001222716,0.129078864,2500,-817.8512324,AC,,1,1,2500
L298,N_3115,N_3113,8.22982E-05,0.001222716,0.129078864,2500,-817.8512324,AC,,1,1,2500
L299,N_3115,N_3113,8.22982E-05,0.001222716,0.129078864,2500,-817.8512324,AC,,1,1,2500
L300,N_3418,N_3429,0.001819641,0.012609794,0.023288215,800,-79.30343476,AC,,4,4,700
L301,N_3418,N_3429,0.001819641,0.012609794,0.023288215,800,-79.30343476,AC,,4,4,700
L302,N_3201,N_3401,0,0.0293,0,1000,-34.12969283,AC,,2,4,1000
L303,N_3201,N_3401,0,0.0293,0,1000,-34.12969283,AC,,2,4,1000
L304,N_3201,N_3401,0,0.0293,0,1000,-34.12969283,AC,,2,4,1000
L305,N_3112,N_3412,0,0.0182,0,2500,-54.94505495,AC,,1,4,2500
L306,N_3112,N_3412,0,0.0182,0,2500,-54.94505495,AC,,1,4,2500
L307,N_3115,N_3415,0,0.02795,0,2500,-35.77817531,AC,,1,4,2500
L308,N_3115,N_3415,0,0.02795,0,2500,-35.77817531,AC,,1,4,2500
L309,N_3115,N_3415,0,0.02795,0,2500,-35.77817531,AC,,1,4,2500
L310,N_3102,N_3202,0,0.01184,0,2500,-84.45945946,AC,,1,2,2500
L311,N_3202,N_3402,0,0.0245,0,1000,-40.81632653,AC,,2,4,1000
L312,N_3202,N_3402,0,0.0245,0,1000,-40.81632653,AC,,2,4,1000
L313,N_3116,N_3416,0,0.01824,0,2500,-54.8245614,AC,,1,4,2500
L314,N_3116,N_3416,0,0.01824,0,2500,-54.8245614,AC,,1,4,2500
L315,N_3117,N_3417,0,0.01824,0,2500,-54.8245614,AC,,1,4,2500
L316,N_3118,N_3418,0,0.0331,0,2500,-30.21148036,AC,,1,4,2500
L317,N_3118,N_3418,0,0.0331,0,2500,-30.21148036,AC,,1,4,2500
L318,N_3118,N_3418,0,0.0331,0,2500,-30.21148036,AC,,1,4,2500
L319,N_3118,N_3418,0,0.0331,0,2500,-30.21148036,AC,,1,4,2500
L320,N_3114,N_3314,0,0.022,0,2500,-45.45454545,AC,,1,3,2500
L321,N_3114,N_3314,0,0.022,0,2500,-45.45454545,AC,,1,3,2500
L322,N_3406,N_3906,0,0.081521739,0,3000,-12.26666667,AC,,4,9,3000
L323,N_3421,N_3921,0,0.111111111,0,3000,-9,AC,,4,9,3000
L324,N_3118,N_3918,0,0.009375,0,3000,-106.6666667,AC,,1,9,3000
L325,N_3418,N_3986,0,0.140186916,0,3000,-7.133333333,AC,,4,9,3000
L326,N_3114,N_3914,0,0.096153846,0,3000,-10.4,AC,,1,9,3000
L327,N_3415,N_3915,0,0.048076923,0,3000,-20.8,AC,,4,9,3000
L328,N_3415,N_3985,0,0.029411765,0,3000,-34,AC,,4,9,3000
L329,N_3119,N_3980,0,0.006880734,0,3000,-145.3333333,AC,,1,9,3000
L330,N_3119,N_3981,0,0.015,0,3000,-66.66666667,AC,,1,9,3000
L331,N_3119,N_3982,0,0.05,0,3000,-20,AC,,1,9,3000
L332,N_3412,N_3912,0,0.035714286,0,3000,-28,AC,,4,9,3000
L333,N_3402,N_3902,0,0.09375,0,3000,-10.66666667,AC,,4,9,3000
L334,N_3471,N_3923,0,0.128205128,0,3000,-7.8,AC,,4,9,3000
L335,N_3429,N_3929,0,0.010344828,0,3000,-96.66666667,AC,,4,9,3000
L336,N_3422,N_3922,0,0.03,0,3000,-33.33333333,AC,,4,9,3000
L337,N_3423,N_3903,0,0.05,0,3000,-20,AC,,4,9,3000
L338,N_5314,N_5365,0.011163528,0.084167126,0.306115691,900,-11.88112325,AC,,3,3,800
L339,N_5304,N_5312,0.002523329,0.027077263,0.167898441,900,-36.93135441,AC,,3,3,800
L340,N_5304,N_5313,0.000636134,0.004796117,0.017443469,900,-208.5020026,AC,,3,3,800
L341,N_5304,N_5308,0.000725132,0.005467115,0.019883889,900,-182.9118134,AC,,3,3,800
L342,N_5366,N_5365,0.001870442,0.020307657,0.149635364,900,-49.24251088,AC,,3,3,800
L343,N_5366,N_5365,0.001870442,0.020307657,0.149635364,900,-49.24251088,AC,,3,3,800
L344,N_5365,N_5330,0.010318944,0.11073021,0.686606681,900,-9.030959088,AC,,3,3,800
L345,N_5305,N_5307,0.0002,0.0018,0.72,900,-555.5555556,AC,,3,3,800
L346,N_5313,N_5307,0.001067452,0.01145458,0.071026607,900,-87.30132374,AC,,3,3,800
L347,N_5313,N_5308,0.000700465,0.005281136,0.019207484,900,-189.3531855,AC,,3,3,800
L348,N_5306,N_5312,0.000555244,0.004186249,0.015225381,900,-238.8773226,AC,,3,3,800
L349,N_5306,N_5309,0.000739542,0.005575758,0.020279021,900,-179.3478188,AC,,3,3,800
L350,N_5307,N_5340,0.001579437,0.011908125,0.04330983,900,-83.97627601,AC,,3,3,800
L351,N_5307,N_5312,0.001453497,0.015597142,0.09671346,900,-64.11431088,AC,,3,3,800
L352,N_5309,N_5312,0.000886989,0.006687431,0.024322174,900,-149.5342585,AC,,3,3,800
L353,N_5340,N_5310,0.000494026,0.005301276,0.032871709,900,-188.6338457,AC,,3,3,800
L354,N_5340,N_5312,0.000787501,0.008450489,0.052399092,900,-118.3363407,AC,,3,3,800
L355,N_5310,N_5311,0.000694579,0.005236762,0.019046096,900,-190.9576794,AC,,3,3,800
L356,N_5301,N_5302,0.023299797,0.175668208,0.638904966,900,-5.692549676,AC,,3,3,800
L357,N_5301,N_5302,0.023299797,0.175668208,0.638904966,900,-5.692549676,AC,,3,3,800
L358,N_5340,N_5303,0.00229205,0.019100418,0.090917988,900,-52.3548759,AC,,3,3,800
L359,N_5303,N_5302,0.003916088,0.03263407,0.155338175,900,-30.64282164,AC,,3,3,800
L360,N_5318,N_5303,0.006966986,0.058058214,0.276357099,900,-17.22409164,AC,,3,3,800
L361,N_5302,N_5304,0.005027902,0.041899187,0.199440132,900,-23.86681129,AC,,3,3,800
L362,N_5312,N_5328,0.000643386,0.006904027,0.042809919,900,-144.8429949,AC,,3,3,800
L363,N_5312,N_5317,0.000140573,0.00150846,0.009353531,900,-662.9279453,AC,,3,3,800
L364,N_5317,N_5311,7.79353E-05,0.000836306,0.005185696,900,-1195.734801,AC,,3,3,800
L365,N_5340,N_5318,0.00600446,0.050037165,0.238176903,900,-19.98514522,AC,,3,3,800
L366,N_5340,N_5370,0.002481552,0.018709596,0.068046768,900,-53.44850811,AC,,3,3,800
L367,N_5340,N_5325,0.006379534,0.053162782,0.253054842,900,-18.81015184,AC,,3,3,800
L368,N_5370,N_5314,0.007969471,0.060085616,0.218531281,900,-16.64291826,AC,,3,3,800
L369,N_5318,N_5345,0.004826003,0.040216692,0.191431452,900,-24.86529751,AC,,3,3,800
L370,N_5345,N_5365,0.007964974,0.066374787,0.315943985,900,-15.06596177,AC,,3,3,800
L371,N_5365,N_5326,0.00488494,0.040707835,0.193769296,900,-24.56529542,AC,,3,3,800
L372,N_5326,N_5325,0.005005409,0.04171174,0.198547882,900,-23.9740659,AC,,3,3,800
L373,N_5365,N_5320,0.007964974,0.066374787,0.315943985,900,-15.06596177,AC,,3,3,800
L374,N_5320,N_5318,0.004826003,0.040216692,0.191431452,900,-24.86529751,AC,,3,3,800
L375,N_5303,N_5329,0.002051974,0.017099786,0.081394983,900,-58.48026312,AC,,3,3,800
L376,N_5304,N_5329,0.001262008,0.010516737,0.050059667,900,-95.08652857,AC,,3,3,800
L377,N_5345,N_5945,0,0.065789474,0,3000,-15.2,AC,,3,9,3000
L378,N_5306,N_5906,0,0.096153846,0,3000,-10.4,AC,,3,9,3000
L379,N_5311,N_5911,0,0.031380753,0,3000,-31.86666667,AC,,3,9,3000
L380,N_5318,N_5918,0,0.166666667,0,3000,-6,AC,,3,9,3000
L381,N_5301,N_5901,0,0.104895105,0,3000,-9.533333333,AC,,3,9,3000
L382,N_5301,N_5970,0,0.05,0,3000,-20,AC,,3,9,3000
L383,N_5312,N_5912,0,0.037128713,0,3000,-26.93333333,AC,,3,9,3000
L384,N_5312,N_5913,0,0.01171875,0,3000,-85.33333333,AC,,3,9,3000
L385,N_5345,N_5951,0,0.05,0,3000,-20,AC,,3,9,3000
L386,N_5320,N_5952,0,0.05,0,3000,-20,AC,,3,9,3000
L387,N_5314,N_5953,0,0.05,0,3000,-20,AC,,3,9,3000
L388,N_5301,N_5902,0,0.05,0,3000,-20,AC,,3,9,3000
L389,N_5311,N_5914,0,0.03,0,3000,-33.33333333,AC,,3,9,3000
L390,N_2261,N_4220,0.003683866,0.046173338,0.701768068,600,-21.65751999,AC,,2,2,
L391,N_2261,N_4220,0.003683866,0.046173338,0.701768068,600,-21.65751999,AC,,2,2,
L392,N_2213,N_3203,0.00164,0.01259,0.1646,966,-79.42811755,AC,,2,2,
L393,N_2402,N_3409,0.0036,0.0154,0.0422,265,-64.93506494,AC,,4,4,
L394,N_2201,N_3201,0.004626326,0.035270007,0.432859175,1015,-28.3527022,AC,,2,2,1015*0.9
L395,N_2201,N_3201,0.004626326,0.035270007,0.432859175,1015,-28.3527022,AC,,2,2,1015*0.9
L396,N_3314,N_5301,0.006895433,0.051987935,0.189080027,435,-19.23523232,AC,,3,3,435
L397,N_3314,N_5301,0.006895433,0.051987935,0.189080027,435,-19.23523232,AC,,3,3,(650+220)/2